Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric,115.824,7.874,270.0,bottom
C2,1uF,C_0603_1608Metric,116.84,12.446,90.0,bottom
C3,10uF,C_1206_3216Metric,113.03,7.874,270.0,bottom
C4,22uF,C_1206_3216Metric,108.458,8.128,270.0,bottom
C5,1uF,C_0603_1608Metric,104.394,12.7,90.0,bottom
C6,10uF,C_1206_3216Metric,105.664,8.128,270.0,bottom
C7,0.1uF,C_0603_1608Metric,62.245,19.317,90.0,bottom
C8,0.1uF,C_0603_1608Metric,51.562,15.24,270.0,bottom
C9,1uF,C_0603_1608Metric,64.247,19.317,90.0,bottom
C10,10uF,C_1206_3216Metric,53.848,14.478,270.0,bottom
C11,0.1uF,C_0603_1608Metric,69.596,27.686,180.0,bottom
C12,0.1uF,C_0603_1608Metric,68.834,53.34,180.0,bottom
C13,0.1uF,C_0603_1608Metric,68.834,71.628,180.0,bottom
C17,0.1uF,C_0603_1608Metric,74.93,36.83,270.0,bottom
C18,0.1uF,C_0603_1608Metric,75.438,89.662,90.0,bottom
D1,D,D_SOD-123F,124.206,14.986,180.0,bottom
D2,LED,D_0805_2012Metric,101.854,16.51,270.0,bottom
D3,LED,D_0805_2012Metric,87.63,9.652,180.0,bottom
D4,LED,LED_SunLED_XZ_Reverse_Mount,5.361802,30.3276,90.0,bottom
D5,LED,LED_SunLED_XZ_Reverse_Mount,31.548721,30.9132,90.0,bottom
D6,LED,LED_SunLED_XZ_Reverse_Mount,57.73564,30.9132,90.0,bottom
D7,LED,LED_LTST-C230K,83.922559,30.9132,90.0,bottom
D8,LED,LED_LTST-C230K,110.109478,30.9132,90.0,bottom
D9,LED,LED_LTST-C230K,136.2964,31.0388,90.0,bottom
D10,LED,LED_SunLED_XZ_Reverse_Mount,7.874,52.981285,90.0,bottom
D11,LED,LED_SunLED_XZ_Reverse_Mount,33.048721,53.449765,90.0,bottom
D12,LED,LED_SunLED_XZ_Reverse_Mount,58.23564,53.449765,90.0,bottom
D13,LED,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,83.422559,53.449765,90.0,bottom
D14,LED,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,108.609478,53.449765,90.0,bottom
D15,LED,LED_SunLED_XZ_Reverse_Mount_Cut_Pads,133.7964,53.550245,90.0,bottom
D16,LED,LED_SunLED_XZ_Reverse_Mount,10.3618,80.634964,90.0,bottom
D17,LED,LED_SunLED_XZ_Reverse_Mount,34.54872,80.986324,90.0,bottom
D18,LED,LED_SunLED_XZ_Reverse_Mount,58.73564,80.986324,90.0,bottom
D19,LED,LED_SunLED_XZ_Reverse_Mount,82.92256,80.986324,90.0,bottom
D20,LED,LED_SunLED_XZ_Reverse_Mount,107.10948,80.986324,90.0,bottom
D21,LED,LED_SunLED_XZ_Reverse_Mount,131.296402,81.061684,90.0,bottom
J1,Screw_Terminal_01x02,PinHeader_1x02_P2.54mm_Horizontal,128.27,0.762,90.0,bottom
J2,USB_C_Receptacle_USB2.0_EDITED,AMPHENOL_GSB1C41110SSHR,142.494,13.716,270.0,bottom
J3,FTSH-105-01-S-DV-TR,SAMTEC_FTSH-105-01-S-DV-TR,93.472,0.508,270.0,bottom
J4,Conn_01x04,PinHeader_1x04_P1.27mm_Vertical,43.688,-1.524,270.0,bottom
J5,XLR5_Ground,NEUTRIK_NC5FAH,18.796,7.112,0.0,bottom
P1,~,Cap_Touch_Ring_Small,5.361802,30.3276,90.0,top
P2,~,Cap_Touch_Ring_Small,31.548721,30.9132,90.0,top
P3,~,Cap_Touch_Ring_Small,57.73564,30.9132,90.0,top
P4,~,Cap_Touch_Ring_Cutout,83.922559,30.9132,90.0,top
P5,~,Cap_Touch_Ring_Cutout,110.109478,30.9132,90.0,top
P6,~,Cap_Touch_Ring_Cutout,136.2964,31.0388,90.0,top
P7,~,Cap_Touch_Ring_Medium,7.861802,52.981285,90.0,top
P8,~,Cap_Touch_Ring_Medium,33.048721,53.449765,90.0,top
P9,~,Cap_Touch_Ring_Medium,58.23564,53.449765,90.0,top
P10,~,Cap_Touch_Ring_Medium_Bottom,83.422559,53.449765,90.0,top
P11,~,Cap_Touch_Ring_Medium_Bottom,108.609478,53.449765,90.0,top
P12,~,Cap_Touch_Ring_Medium_Bottom,133.7964,53.550245,90.0,top
P13,~,Cap_Touch_Ring_Large,10.3618,80.634964,90.0,top
P14,~,Cap_Touch_Ring_Large,34.54872,80.986324,90.0,top
P15,~,Cap_Touch_Ring_Large,58.73564,80.986324,90.0,top
P16,~,Cap_Touch_Ring_Large_Bottom,82.92256,80.986324,90.0,top
P17,~,Cap_Touch_Ring_Large_Bottom,107.10948,80.986324,90.0,top
P18,~,Cap_Touch_Ring_Large_Bottom,131.296402,81.061684,90.0,top
Q1,PMOS,SOT-23,124.206,9.906,0.0,bottom
Q2,NMOS,TSOT-23,11.049,28.956,270.0,bottom
Q3,NMOS,TSOT-23,37.719,28.956,270.0,bottom
Q4,NMOS,TSOT-23,63.754,28.956,270.0,bottom
Q5,NMOS,TSOT-23,78.359,28.956,270.0,bottom
Q6,NMOS,TSOT-23,104.394,28.956,270.0,bottom
Q7,NMOS,TSOT-23,129.794,27.686,270.0,bottom
Q8,NMOS,TSOT-23,14.532162,49.338993,270.0,bottom
Q9,NMOS,TSOT-23,38.989,49.911,270.0,bottom
Q10,NMOS,TSOT-23,63.754,49.911,270.0,bottom
Q11,NMOS,TSOT-23,74.93,56.388,270.0,bottom
Q12,NMOS,TSOT-23,98.994,49.998,270.0,bottom
Q13,NMOS,TSOT-23,124.206,49.907953,270.0,bottom
Q14,NMOS,TSOT-23,17.399,77.851,270.0,bottom
Q15,NMOS,TSOT-23,41.529,77.851,270.0,bottom
Q16,NMOS,TSOT-23,65.659,77.851,270.0,bottom
Q17,NMOS,TSOT-23,83.82,68.326,0.0,bottom
Q18,NMOS,TSOT-23,97.028,70.612,270.0,bottom
Q19,NMOS,TSOT-23,121.285,70.485,270.0,bottom
R1,0R,R_0603_1608Metric,143.51,21.59,270.0,bottom
R2,0R,R_0603_1608Metric,141.986,21.59,270.0,bottom
